,,v1,v2,v3
0,0.71,קודם ב'מניפסט'...,בפרק שעבר ב'מניפסט'...,בפרק הקודם של 'מניפסט'...
0,0.18,קודם ב'מניפסט'...,בפרק הקודם של 'מניפסט'...,בפרק האחרון ב'מניפסט'...
0,0.43,קודם ב'מניפסט'...,בפרק האחרון של 'מניפסט'...,בפרק הקודם של 'מניפסט'...
1,0.71,"דיילי: סליחה רבה, חבר'ה.
זה לא היה ברדאר.","דיילי: תסלחו לי, אנשים.
זה לא הופיע ברדאר.","דיילי: ממש מצטער, כולם.
לא ראינו את זה ברדאר."
1,0.18,"דיילי: סליחה רבה, חבר'ה.
זה לא היה ברדאר.","דיילי: ממש מצטער, חברים.
זה לא הופיע ברדאר.","דיילי: אני מתנצל בפניכם, אנשים.
לא ראינו את זה ברדאר."
1,0.43,"דיילי: תסלחו לי, אנשים.
זה לא הופיע בראדאר.","דיילי: ממש מצטער, כולם.
לא ראינו את זה בראדאר.","דיילי: סליחה רבה, חבר'ה.
זה לא היה בראדאר."
2,0.71,"הייתם נעדרים,
הוחזקתם כמתים, חמש שנים וחצי.","כולכם נעלמתם,
נחשבתם למתים, במשך 5 וחצי שנים.","נעלמתם ונחשבתם למתים
gלמשך חמש שנים וחצי."
2,0.18,"אתם כולכם הייתם נעלמים,
והניחו שאתם מתים, במשך חמש שנים וחצי.","כולכם הייתם נעדרים,
הנחו שמתתם, במשך 5 וחצי שנים.","כולכם נחשבתם לנעדרים,
והוחזקתם כמתים, חמש שנים וחצי."
2,0.43,"כולכם הייתם נעדרים,
נחשבתם למתים, חמש שנים וחצי.","אתם כולם נעלמתם,
ונחשבתם כמתים, למשך חמש שנים וחצי.","כולכם נעדרתם,
הוחזקתם כמתים, במשך 5 וחצי שנים."
3,0.71,בן!,בני!,בנימין!
3,0.18,בן!,,
3,0.43,בן!,בני!,"בן, זה אתה!"
4,0.71,מי היא?,זו מי?,איזו היא?
4,0.18,אז מי היא?,מי היא?,מי זאת?
4,0.43,מי היא?,היא מי?,זו מי?
5,0.71,"לורדס.
זה מתחבר.","לורדס.
זה מסתדר.","לורדס.
זה הגיוני."
5,0.18,"לורדס.
זה מתחבר.","לורדס.
זה מסביר הכל.","לורדס.
זה הגיוני."
5,0.43,"לורדס.
הכל מתחבר עכשיו.","לורדס.
זה מובן מאליו.","לורדס.
זה מסביר הכל."
6,0.71,תמיד טענה שאני ממש ברת מזל.,היא תמיד סיפרה לי כמה אני במזל.,תמיד אמרה לי כמה שאני מזלית.
6,0.18,"תמיד
היא אמרה לי כמה אני ברת מזל.","היא תמיד
אמרה לי כמה אני מזלית.","היא תמיד
סיפרה לי כמה אני מוצלחת."
6,0.43,"היא תמיד סיפרה לי
עד כמה אני מוצלחת.","תמיד אמרה לי
כמה אני במזל.","היא תמיד
אמרה לי כמה אני מזלית."
7,0.71,"סאנווי:
אני לא מפסילה","סאנווי:
אני לא מוציאה מהמשוואה","סאנווי:
לא אכחיד"
7,0.18,"סאנווי:
אני לא מסירה את האפשרות","סאנווי:
אני לא מוציאה מהמשוואה","סאנווי:
אני לא דוחה את האופציה"
7,0.43,"סאנווי:
אני לא מסירה את האפשרות","סאנווי:
אני לא מוציאה מהמשוואה","סאנווי:
אני לא דוחה את האופציה"
8,0.71,"שאולי הוא
חזר כדי להינצל","שכנראה הוא
חזר כדי להיחלץ","שייתכן שהוא
חזר כדי להינצל"
8,0.18,"שאולי הוא
חזר כדי להינצל","שקרה שהוא
חזר בשביל להינצל","שיתכן שהוא
חזר על מנת להינצל"
8,0.43,"שאולי הוא
חזר כדי להינצל","שיתכן
שהוא חזר כדי להינצל","שקיים סיכוי
שהוא חזר כדי להינצל"
9,0.71,"ואני חזרתי
כדי להציל אותו.","ואני חזרתי
בשביל להציל אותו.","ואני חזרתי
על מנת להציל אותו."
9,0.18,"ואני חזרתי
כדי להציל אותו.","ואני חזרתי
בשביל להציל אותו.","ואני חזרתי
על מנת להציל אותו."
9,0.43,"ואני חזרתי
כדי להציל אותו.","ואני חזרתי
בשביל להציל אותו.","ואני חזרתי
על מנת להציל אותו."
10,0.71,"מוקדם יותר היום, שמעתי
קול בראש שלי.","קודם, שמעתי
קול במוח שלי.","היום בבוקר, שמעתי
קול בתוך הראש."
10,0.18,"מוקדם יותר היום, שמעתי
קול בראש שלי.","קודם, שמעתי
קול במוח שלי.","היום בבוקר, שמעתי
קול בתוך הראש שלי."
10,0.43,"הבוקר, נשמע לי
קול בתוך הראש.","מוקדם היום, הרגשתי
קול מדבר בתוך הראש שלי.","היום בבוקר, שמעתי
קול בראש שלי."
11,0.71,אל תספר לאף אחד.,תשמור את זה בסוד.,שמור זאת לעצמך.
11,0.18,שמור את זה לעצמך.,תשמור את זה בסוד.,אל תספר את זה לאף אחד.
11,0.43,שמור את זה בסוד.,אל תספר את זה לאף אחד.,תשמור את זה לעצמך.
12,0.71,"מה אתה חושב,
הממשלה","מה, לדעתך,
הממשלה","אתה חושב שמה,
הממשלה"
12,0.18,"מה אתה חושב,
הממשלה","לדעתך,
הממשלה","אתה מאמין
שהממשלה"
